soc_code,soc_code_onet,occ_title,task_id,skill,skill_requirement_pre,skill_requirement_post_genai
11-10,11-1011.00,Chief Executives,8823,manual,2.25,1.5
11-10,11-1011.00,Chief Executives,8823,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8823,social,5.375,4.375
11-10,11-1011.00,Chief Executives,8823,technical,5.166666666666667,4.0
11-10,11-1011.00,Chief Executives,8823,verbal,5.333333333333333,4.0
11-10,11-1011.00,Chief Executives,8824,manual,2.0,1.5
11-10,11-1011.00,Chief Executives,8824,math,4.0,3.0
11-10,11-1011.00,Chief Executives,8824,social,5.5,4.5
11-10,11-1011.00,Chief Executives,8824,technical,3.6666666666666665,2.8333333333333335
11-10,11-1011.00,Chief Executives,8824,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8825,manual,2.75,2.0
11-10,11-1011.00,Chief Executives,8825,math,5.0,3.0
11-10,11-1011.00,Chief Executives,8825,social,5.375,4.25
11-10,11-1011.00,Chief Executives,8825,technical,5.166666666666667,4.0
11-10,11-1011.00,Chief Executives,8825,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8826,manual,2.0,1.75
11-10,11-1011.00,Chief Executives,8826,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8826,social,5.625,4.5
11-10,11-1011.00,Chief Executives,8826,technical,4.916666666666667,3.9166666666666665
11-10,11-1011.00,Chief Executives,8826,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8827,manual,1.75,1.5
11-10,11-1011.00,Chief Executives,8827,math,5.0,3.0
11-10,11-1011.00,Chief Executives,8827,social,5.0,3.875
11-10,11-1011.00,Chief Executives,8827,technical,4.25,3.0
11-10,11-1011.00,Chief Executives,8827,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8828,manual,3.5,2.75
11-10,11-1011.00,Chief Executives,8828,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8828,social,5.5,4.5
11-10,11-1011.00,Chief Executives,8828,technical,4.5,3.5
11-10,11-1011.00,Chief Executives,8828,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8829,manual,2.0,1.5
11-10,11-1011.00,Chief Executives,8829,math,5.0,3.0
11-10,11-1011.00,Chief Executives,8829,social,5.625,4.625
11-10,11-1011.00,Chief Executives,8829,technical,4.0,3.0833333333333335
11-10,11-1011.00,Chief Executives,8829,verbal,5.333333333333333,4.0
11-10,11-1011.00,Chief Executives,8830,manual,1.75,1.5
11-10,11-1011.00,Chief Executives,8830,math,5.0,3.0
11-10,11-1011.00,Chief Executives,8830,social,4.375,3.25
