field_name,rel_ch_meanwage,rel_ch_meanwage_centered,rank
Engineering,-1.304213709148882,2.29522195962219,1
Mechanic / Repair Tech,-1.3050806580944956,2.2029050747583394,2
Physics,-1.3095603506720754,1.7258859077102169,3
Architecture,-1.3095781399772723,1.7239916171086995,4
Chemistry,-1.310315926999591,1.6454285137817553,5
Atmospheric Sciences,-1.3119156240102665,1.4750850979453793,6
Computer Science,-1.3129680586993628,1.3630168008310042,7
Earth Sciences,-1.3130612160068766,1.353096963595502,8
Culinary Arts,-1.3136226856219786,1.2933089840677956,9
Transportation,-1.3142819347987649,1.223108967494862,10
Fine Arts,-1.315171490657651,1.1283847899983106,11
Basic Computer Skills,-1.3154110882054442,1.1028712931018796,12
Mathematics,-1.3154786929666524,1.0956724136427283,13
Astronomy,-1.316760402290068,0.9591898530059773,14
Agriculture,-1.3168135946832542,0.9535256716695312,15
Cosmetology,-1.3178244765770335,0.8458821156433853,16
Geography,-1.3186121429898277,0.7620076154101935,17
Accounting,-1.3186669425081088,0.7561722996798387,18
Public Safety,-1.3192746864498122,0.6914568077505894,19
Film and Photography,-1.3196720481732525,0.6491438242032455,20
Biology,-1.3198155727262808,0.6338606409153588,21
Dentistry,-1.3215752025443706,0.4464868121086322,22
Economics,-1.3219151617418667,0.4102863250413724,23
Health Technician,-1.3252038222383093,0.060093970644447305,24
Business,-1.3255756121011786,0.02050400154915053,25
Marketing,-1.3258595614306536,-0.009732285938069008,26
Library Science,-1.3259838653769458,-0.022968766766650613,27
Veterinary Medicine,-1.3261946867280099,-0.04541803611693373,28
Theatre Arts,-1.3264051642959263,-0.06783069778757501,29
Music,-1.3274644213633364,-0.18062547449049238,30
Linguistics,-1.3287678713398114,-0.31942308421462257,31
Dance,-1.3288900818295062,-0.3324366437366519,32
Fitness and Leisure,-1.3292933427487204,-0.37537780196464027,33
Nutrition,-1.3293393822777044,-0.38028031198891893,34
Anthropology,-1.3303679079696402,-0.4898026643285217,35
Basic Skills,-1.3315505697656158,-0.6157381688404623,36
Education,-1.331811927345362,-0.6435687783818771,37
Journalism,-1.3320974827150738,-0.6739760847420967,38
Media / Communications,-1.3323719002076462,-0.7031973764855225,39
English Literature,-1.3328907781760087,-0.7584499930393149,40
Sign Language,-1.3330423673133556,-0.7745919319734006,41
History,-1.3331048130717928,-0.7812414560555938,42
Medicine,-1.3331864823773567,-0.7899379957039724,43
Classics,-1.3332477550234891,-0.7964626011573035,44
Spanish,-1.3333857195424088,-0.8111537253265457,45
Japanese,-1.333485498730886,-0.8217786922303727,46
German,-1.3336698450344964,-0.8414087714542798,47
French,-1.3337208572564903,-0.8468407976979073,48
Psychology,-1.3338575501540157,-0.861396513517637,49
Hebrew,-1.3339365982164288,-0.869813930614021,50
Criminal Justice,-1.333958442756282,-0.8721400420658381,51
Military Science,-1.3340387447061572,-0.8806909791175261,52
Philosophy,-1.3350261064198041,-0.9858299934722781,53
Sociology,-1.3352599138597947,-1.0107269318988457,54
Chinese,-1.3356622577573567,-1.05357044125984,55
Political Science,-1.3359438043019487,-1.0835508686799535,56
Law,-1.3360177609221193,-1.091426124568728,57
Nursing,-1.3360617140296642,-1.0961064624238703,58
Religion,-1.3364663512331485,-1.1391941740067546,59
Theology,-1.3369959080662892,-1.195583927337974,60
Women's Studies,-1.3373667891094114,-1.2350771209445046,61
Social Work,-1.3385327916778749,-1.3592386709508875,62
